loan_reference,payment_amount,payment_date,payment_method,transaction_type,reference_number
JUTEM-00001,5800.0,2023-10-23,cash,Loan Repayment,PMT-00001
JUTEM-00001,5800.0,2023-11-23,cash,Loan Repayment,PMT-00002
JUTEM-00001,5800.0,2023-12-23,cash,Loan Repayment,PMT-00003
JUTEM-00002,6250.0,2024-01-25,cash,Loan Repayment,PMT-00004
JUTEM-00003,6710.0,2022-04-25,cash,Loan Repayment,PMT-00005
JUTEM-00003,6710.0,2022-05-25,cash,Loan Repayment,PMT-00006
JUTEM-00003,6875.0,2022-09-25,cash,Loan Repayment,PMT-00007
JUTEM-00003,6875.0,2023-02-25,cash,Loan Repayment,PMT-00008
JUTEM-00003,6875.0,2023-03-25,cash,Loan Repayment,PMT-00009
JUTEM-00003,6765.0,2023-05-25,cash,Loan Repayment,PMT-00010
JUTEM-00004,4880.0,2022-06-26,cash,Loan Repayment,PMT-00011
JUTEM-00004,4880.0,2023-06-26,cash,Loan Repayment,PMT-00012
JUTEM-00005,3750.0,2022-06-03,cash,Loan Repayment,PMT-00013
JUTEM-00006,5000.0,2022-07-09,cash,Loan Repayment,PMT-00014
JUTEM-00007,5000.0,2022-08-16,cash,Loan Repayment,PMT-00015
JUTEM-00008,6250.0,2022-10-26,cash,Loan Repayment,PMT-00016
JUTEM-00008,6250.0,2022-11-26,cash,Loan Repayment,PMT-00017
JUTEM-00008,6250.0,2022-12-26,cash,Loan Repayment,PMT-00018
JUTEM-00008,6150.0,2023-04-26,cash,Loan Repayment,PMT-00019
JUTEM-00009,5625.0,2023-01-29,cash,Loan Repayment,PMT-00020
JUTEM-00010,8540.0,2023-07-27,cash,Loan Repayment,PMT-00021
JUTEM-00011,8540.0,2023-08-30,cash,Loan Repayment,PMT-00022
JUTEM-00011,8540.0,2023-09-30,cash,Loan Repayment,PMT-00023
JUTEM-00012,8400.0,2023-11-02,cash,Loan Repayment,PMT-00024
JUTEM-00012,8400.0,2023-12-02,cash,Loan Repayment,PMT-00025
JUTEM-00012,8400.0,2024-01-02,cash,Loan Repayment,PMT-00026
JUTEM-00012,8400.0,2024-02-02,cash,Loan Repayment,PMT-00027
JUTEM-00013,2500.0,2024-03-30,cash,Loan Repayment,PMT-00028
JUTEM-00014,1250.0,2024-05-15,cash,Loan Repayment,PMT-00029
JUTEM-00015,1500.0,2024-06-15,cash,Loan Repayment,PMT-00030
JUTEM-00016,3690.0,2024-08-19,cash,Loan Repayment,PMT-00031
JUTEM-00017,2875.0,2024-09-10,cash,Loan Repayment,PMT-00032
JUTEM-00018,1250.0,2024-09-23,cash,Loan Repayment,PMT-00033
JUTEM-00019,2500.0,2024-11-22,cash,Loan Repayment,PMT-00034
JUTEM-00020,1875.0,2024-12-22,cash,Loan Repayment,PMT-00035
JUTEM-00021,2640.0,2025-02-16,cash,Loan Repayment,PMT-00036
JUTEM-00021,2640.0,2025-03-16,cash,Loan Repayment,PMT-00037
JUTEM-00022,2266.67,2025-07-13,cash,Loan Repayment,PMT-00038
JUTEM-00022,2266.67,2025-08-13,cash,Loan Repayment,PMT-00039
JUTEM-00022,2266.67,2025-09-13,cash,Loan Repayment,PMT-00040
JUTEM-00023,89250.0,2024-12-25,cash,Loan Repayment,PMT-00041
JUTEM-00024,87500.0,2025-12-14,cash,Loan Repayment,PMT-00042
JUTEM-00024,87500.0,2026-01-14,cash,Loan Repayment,PMT-00043
JUTEM-00025,269270.4,2024-06-16,cash,Loan Repayment,PMT-00044
JUTEM-00026,268808.76,2024-08-06,cash,Loan Repayment,PMT-00045
JUTEM-00027,268400.0,2024-05-16,cash,Loan Repayment,PMT-00046
JUTEM-00028,300007.68,2024-11-22,cash,Loan Repayment,PMT-00047
JUTEM-00029,162150.0,2025-03-25,cash,Loan Repayment,PMT-00048
JUTEM-00030,120000.0,2025-10-07,cash,Loan Repayment,PMT-00049
JUTEM-00031,144000.0,2024-09-29,cash,Loan Repayment,PMT-00050
JUTEM-00032,33000.0,2024-10-11,cash,Loan Repayment,PMT-00051
JUTEM-00033,30000.0,2024-11-24,cash,Loan Repayment,PMT-00052
JUTEM-00034,25000.0,2025-01-29,cash,Loan Repayment,PMT-00053
JUTEM-00035,60000.0,2025-04-03,cash,Loan Repayment,PMT-00054
JUTEM-00036,238000.0,2025-05-08,cash,Loan Repayment,PMT-00055
JUTEM-00037,71400.0,2025-06-16,cash,Loan Repayment,PMT-00056
JUTEM-00038,57500.0,2025-06-11,cash,Loan Repayment,PMT-00057
JUTEM-00039,23000.0,2025-07-20,cash,Loan Repayment,PMT-00058
JUTEM-00040,171680.0,2025-08-05,cash,Loan Repayment,PMT-00059
JUTEM-00041,215900.0,2025-09-27,cash,Loan Repayment,PMT-00060
JUTEM-00042,168000.0,2025-11-21,cash,Loan Repayment,PMT-00061
JUTEM-00044,6000.0,2021-07-30,cash,Loan Repayment,PMT-00062
JUTEM-00045,1725.0,2021-09-16,cash,Loan Repayment,PMT-00063
JUTEM-00046,1120.0,2021-10-13,cash,Loan Repayment,PMT-00064
JUTEM-00047,625.0,2021-12-29,cash,Loan Repayment,PMT-00065
JUTEM-00048,4200.0,2022-03-15,cash,Loan Repayment,PMT-00066
JUTEM-00049,3750.0,2022-09-25,cash,Loan Repayment,PMT-00067
JUTEM-00050,4275.0,2022-11-07,cash,Loan Repayment,PMT-00068
JUTEM-00051,2500.0,2021-11-30,cash,Loan Repayment,PMT-00069
JUTEM-00052,6050.0,2021-12-27,cash,Loan Repayment,PMT-00070
JUTEM-00053,6050.0,2022-02-01,cash,Loan Repayment,PMT-00071
JUTEM-00054,1380.0,2022-03-01,cash,Loan Repayment,PMT-00072
JUTEM-00055,3904.0,2022-04-08,cash,Loan Repayment,PMT-00073
JUTEM-00056,3375.0,2022-05-02,cash,Loan Repayment,PMT-00074
JUTEM-00056,3375.0,2022-06-02,cash,Loan Repayment,PMT-00075
JUTEM-00057,4995.0,2022-06-02,cash,Loan Repayment,PMT-00076
JUTEM-00057,4995.0,2022-07-02,cash,Loan Repayment,PMT-00077
JUTEM-00058,1800.0,2021-07-24,cash,Loan Repayment,PMT-00078
JUTEM-00059,3125.0,2021-08-30,cash,Loan Repayment,PMT-00079
JUTEM-00060,3750.0,2021-09-25,cash,Loan Repayment,PMT-00080
JUTEM-00061,4500.0,2021-10-26,cash,Loan Repayment,PMT-00081
JUTEM-00062,285000.0,2025-09-26,cash,Loan Repayment,PMT-00082
JUTEM-00063,649000.0,2025-12-16,cash,Loan Repayment,PMT-00083
JUTEM-00065,1200.0,2021-07-30,cash,Loan Repayment,PMT-00084
JUTEM-00066,8750.0,2021-12-16,cash,Loan Repayment,PMT-00085
JUTEM-00067,3450.0,2025-08-21,cash,Loan Repayment,PMT-00086
JUTEM-00068,4095.0,2023-11-20,cash,Loan Repayment,PMT-00087
JUTEM-00068,4200.0,2023-12-20,cash,Loan Repayment,PMT-00088
JUTEM-00069,6600.0,2024-01-21,cash,Loan Repayment,PMT-00089
JUTEM-00070,3600.0,2024-02-21,cash,Loan Repayment,PMT-00090
JUTEM-00070,3600.0,2024-03-21,cash,Loan Repayment,PMT-00091
JUTEM-00070,3450.0,2024-09-21,cash,Loan Repayment,PMT-00092
JUTEM-00071,1725.0,2024-05-28,cash,Loan Repayment,PMT-00093
JUTEM-00072,2400.0,2024-06-20,cash,Loan Repayment,PMT-00094
JUTEM-00072,2400.0,2024-07-20,cash,Loan Repayment,PMT-00095
JUTEM-00073,3000.0,2024-08-20,cash,Loan Repayment,PMT-00096
JUTEM-00074,4800.0,2024-12-21,cash,Loan Repayment,PMT-00097
JUTEM-00075,4999.99,2025-01-14,cash,Loan Repayment,PMT-00098
JUTEM-00076,4484.0,2025-02-22,cash,Loan Repayment,PMT-00099
JUTEM-00077,6600.0,2026-02-13,cash,Loan Repayment,PMT-00100
JUTEM-00078,3600.0,2024-10-21,cash,Loan Repayment,PMT-00101
JUTEM-00079,3000.0,2024-11-21,cash,Loan Repayment,PMT-00102
JUTEM-00080,625000.0,2023-11-10,cash,Loan Repayment,PMT-00103
JUTEM-00080,590000.0,2025-03-10,cash,Loan Repayment,PMT-00104
JUTEM-00081,75000.0,2023-11-20,cash,Loan Repayment,PMT-00105
JUTEM-00082,75000.0,2023-12-24,cash,Loan Repayment,PMT-00106
JUTEM-00083,1300000.0,2024-01-25,cash,Loan Repayment,PMT-00107
JUTEM-00084,23600.0,2024-01-30,cash,Loan Repayment,PMT-00108
JUTEM-00085,738780.0,2024-02-03,cash,Loan Repayment,PMT-00109
JUTEM-00086,85400.0,2024-02-19,cash,Loan Repayment,PMT-00110
JUTEM-00086,77000.0,2024-07-19,cash,Loan Repayment,PMT-00111
JUTEM-00087,2022000.0,2024-03-19,cash,Loan Repayment,PMT-00112
JUTEM-00088,375000.0,2024-03-19,cash,Loan Repayment,PMT-00113
JUTEM-00089,62500.0,2024-03-19,cash,Loan Repayment,PMT-00114
JUTEM-00090,187500.0,2024-03-19,cash,Loan Repayment,PMT-00115
JUTEM-00091,18000.0,2024-03-29,cash,Loan Repayment,PMT-00116
JUTEM-00092,42000.0,2024-03-29,cash,Loan Repayment,PMT-00117
JUTEM-00093,78400.0,2024-04-04,cash,Loan Repayment,PMT-00118
JUTEM-00094,195000.0,2024-04-06,cash,Loan Repayment,PMT-00119
JUTEM-00095,52000.0,2024-04-06,cash,Loan Repayment,PMT-00120
JUTEM-00096,3375000.0,2024-05-30,cash,Loan Repayment,PMT-00121
JUTEM-00097,180000.0,2024-05-01,cash,Loan Repayment,PMT-00122
JUTEM-00098,143000.0,2024-05-10,cash,Loan Repayment,PMT-00123
JUTEM-00099,4375000.0,2024-07-03,cash,Loan Repayment,PMT-00124
JUTEM-00100,3750000.0,2024-08-06,cash,Loan Repayment,PMT-00125
JUTEM-00101,840000.0,2024-08-04,cash,Loan Repayment,PMT-00126
JUTEM-00102,198000.0,2024-08-25,cash,Loan Repayment,PMT-00127
JUTEM-00103,90000.0,2024-08-25,cash,Loan Repayment,PMT-00128
JUTEM-00104,4096000.0,2024-09-16,cash,Loan Repayment,PMT-00129
JUTEM-00105,149500.0,2024-09-16,cash,Loan Repayment,PMT-00130
JUTEM-00106,1600000.0,2024-10-30,cash,Loan Repayment,PMT-00131
JUTEM-00106,1600000.0,2024-11-30,cash,Loan Repayment,PMT-00132
JUTEM-00107,1600000.0,2024-12-02,cash,Loan Repayment,PMT-00133
